,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,295,10,0,3,20,7,1,3,0,3,3,0,11,3,27,0,10,28,0,2,0,0,0,0,0,4
amusement,6,232,2,2,2,0,2,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
anger,4,4,101,37,9,2,6,4,0,1,15,0,0,0,3,1,0,4,0,0,0,1,0,1,1,3
annoyance,6,8,29,106,26,8,8,8,1,5,48,1,0,6,2,1,1,5,0,0,0,10,0,1,4,2
approval,27,3,4,4,194,15,2,3,1,1,18,0,4,1,3,1,5,12,2,4,0,7,0,2,2,3
caring,6,1,3,7,11,56,1,0,1,0,6,0,1,1,3,0,3,5,0,5,0,2,0,1,1,0
confusion,3,1,0,3,8,2,73,33,0,0,6,0,0,0,2,0,1,0,0,0,0,3,0,1,0,3
curiosity,3,1,1,2,6,1,43,135,1,0,0,1,4,2,2,1,2,5,1,4,0,1,0,2,2,13
desire,3,1,3,1,7,3,1,1,37,2,1,0,1,0,0,0,3,3,0,5,0,1,0,0,1,0
disappointment,7,1,3,22,9,3,4,2,1,32,17,0,2,2,2,0,0,1,0,1,0,9,0,1,8,0
disapproval,6,6,6,18,19,0,9,2,0,5,125,0,1,3,1,0,0,2,0,1,0,8,0,3,2,3
embarrassment,0,2,0,7,1,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,3,0,1,0,1
excitement,8,0,0,1,8,1,0,6,1,0,0,0,35,1,5,0,9,0,0,2,0,1,0,0,0,6
fear,0,0,2,4,0,2,0,0,0,2,3,0,1,58,0,0,0,0,1,0,0,1,0,0,1,0
gratitude,11,3,1,0,4,3,0,0,0,0,1,0,5,0,253,0,7,0,0,0,0,0,0,0,0,0
grief,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
joy,19,7,0,0,5,6,2,0,1,0,1,0,4,1,0,0,60,9,0,0,0,0,0,0,0,1
love,7,3,5,1,4,0,0,0,1,1,0,0,1,0,1,0,2,143,0,1,0,0,0,0,0,0
nervousness,0,0,1,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,3,0
optimism,5,2,0,0,18,22,1,0,3,1,2,0,5,0,0,0,5,2,0,48,0,1,0,3,0,2
pride,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
realization,3,5,1,9,25,3,2,2,1,2,9,1,1,0,0,0,2,1,0,0,0,33,0,1,1,7
relief,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
remorse,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,36,2,0
sadness,7,2,0,2,4,5,2,2,1,6,5,0,0,1,0,4,0,1,0,0,0,2,0,10,50,4
surprise,6,0,3,9,2,0,3,4,0,2,4,0,3,1,0,0,0,1,0,1,0,9,0,0,1,46
