,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,0.6976744186046512,0.020930232558139535,0.002325581395348837,0.0069767441860465115,0.06744186046511629,0.013953488372093023,0.002325581395348837,0.004651162790697674,0.0,0.004651162790697674,0.002325581395348837,0.0,0.02558139534883721,0.004651162790697674,0.044186046511627906,0.0,0.030232558139534883,0.06046511627906977,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0069767441860465115
amusement,0.027777777777777776,0.873015873015873,0.007936507936507936,0.003968253968253968,0.011904761904761904,0.003968253968253968,0.011904761904761904,0.003968253968253968,0.007936507936507936,0.003968253968253968,0.003968253968253968,0.0,0.0,0.0,0.027777777777777776,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.003968253968253968
anger,0.0,0.01015228426395939,0.5279187817258884,0.20304568527918782,0.04060913705583756,0.01015228426395939,0.01015228426395939,0.050761421319796954,0.01015228426395939,0.0,0.07614213197969544,0.0,0.0,0.005076142131979695,0.015228426395939087,0.0,0.0,0.015228426395939087,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.005076142131979695,0.015228426395939087
annoyance,0.024475524475524476,0.02097902097902098,0.0944055944055944,0.3811188811188811,0.10839160839160839,0.03146853146853147,0.02097902097902098,0.045454545454545456,0.01048951048951049,0.01048951048951049,0.17482517482517482,0.0034965034965034965,0.0034965034965034965,0.017482517482517484,0.006993006993006993,0.0,0.0,0.01048951048951049,0.0,0.0034965034965034965,0.0,0.006993006993006993,0.0,0.0034965034965034965,0.01048951048951049,0.01048951048951049
approval,0.06918238993710692,0.012578616352201259,0.012578616352201259,0.031446540880503145,0.6320754716981132,0.050314465408805034,0.006289308176100629,0.0220125786163522,0.0031446540880503146,0.006289308176100629,0.03773584905660377,0.0,0.012578616352201259,0.006289308176100629,0.006289308176100629,0.0,0.018867924528301886,0.025157232704402517,0.0,0.015723270440251572,0.0,0.018867924528301886,0.0,0.006289308176100629,0.0,0.006289308176100629
caring,0.043859649122807015,0.0,0.017543859649122806,0.043859649122807015,0.12280701754385964,0.5350877192982456,0.008771929824561403,0.0,0.0,0.0,0.043859649122807015,0.0,0.0,0.0,0.02631578947368421,0.0,0.03508771929824561,0.043859649122807015,0.008771929824561403,0.03508771929824561,0.0,0.008771929824561403,0.0,0.008771929824561403,0.017543859649122806,0.0
confusion,0.014388489208633094,0.014388489208633094,0.0,0.02158273381294964,0.06474820143884892,0.007194244604316547,0.5251798561151079,0.28776978417266186,0.007194244604316547,0.0,0.02158273381294964,0.0,0.0,0.0,0.014388489208633094,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.014388489208633094
curiosity,0.030042918454935622,0.004291845493562232,0.012875536480686695,0.008583690987124463,0.02145922746781116,0.004291845493562232,0.11587982832618025,0.6652360515021459,0.0,0.0,0.0,0.0,0.02145922746781116,0.004291845493562232,0.008583690987124463,0.0,0.004291845493562232,0.012875536480686695,0.008583690987124463,0.017167381974248927,0.0,0.0,0.0,0.0,0.008583690987124463,0.05150214592274678
desire,0.013513513513513514,0.0,0.02702702702702703,0.04054054054054054,0.0945945945945946,0.013513513513513514,0.0,0.013513513513513514,0.5,0.013513513513513514,0.02702702702702703,0.0,0.013513513513513514,0.0,0.0,0.0,0.02702702702702703,0.06756756756756757,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
disappointment,0.047244094488188976,0.015748031496062992,0.023622047244094488,0.2047244094488189,0.08661417322834646,0.015748031496062992,0.05511811023622047,0.015748031496062992,0.031496062992125984,0.1889763779527559,0.10236220472440945,0.0,0.007874015748031496,0.015748031496062992,0.015748031496062992,0.0,0.007874015748031496,0.015748031496062992,0.0,0.015748031496062992,0.0,0.03937007874015748,0.0,0.015748031496062992,0.07874015748031496,0.0
disapproval,0.031818181818181815,0.031818181818181815,0.01818181818181818,0.05909090909090909,0.09090909090909091,0.00909090909090909,0.05454545454545454,0.013636363636363636,0.0,0.013636363636363636,0.5681818181818182,0.00909090909090909,0.004545454545454545,0.013636363636363636,0.004545454545454545,0.0,0.0,0.01818181818181818,0.0,0.00909090909090909,0.0,0.00909090909090909,0.0,0.013636363636363636,0.004545454545454545,0.022727272727272728
embarrassment,0.0,0.03225806451612903,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.06451612903225806
excitement,0.10714285714285714,0.0,0.0,0.011904761904761904,0.08333333333333333,0.011904761904761904,0.0,0.05952380952380952,0.011904761904761904,0.0,0.0,0.0,0.44047619047619047,0.0,0.047619047619047616,0.0,0.15476190476190477,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.0,0.0,0.0,0.047619047619047616
fear,0.0,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.8133333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334
gratitude,0.04861111111111111,0.006944444444444444,0.0,0.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,0.003472222222222222,0.0,0.8680555555555556,0.0,0.03125,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
grief,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666
joy,0.11206896551724138,0.07758620689655173,0.0,0.0,0.0603448275862069,0.04310344827586207,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.5775862068965517,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414
love,0.041176470588235294,0.011764705882352941,0.023529411764705882,0.0058823529411764705,0.03529411764705882,0.0,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.0058823529411764705,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0,0.0,0.023529411764705882,0.8176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nervousness,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0
optimism,0.058333333333333334,0.016666666666666666,0.0,0.0,0.13333333333333333,0.175,0.0,0.0,0.03333333333333333,0.0,0.008333333333333333,0.0,0.041666666666666664,0.0,0.008333333333333333,0.0,0.025,0.008333333333333333,0.0,0.4666666666666667,0.0,0.0,0.0,0.016666666666666666,0.0,0.008333333333333333
pride,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
realization,0.027522935779816515,0.06422018348623854,0.009174311926605505,0.06422018348623854,0.22018348623853212,0.01834862385321101,0.03669724770642202,0.01834862385321101,0.0,0.009174311926605505,0.08256880733944955,0.009174311926605505,0.009174311926605505,0.0,0.0,0.0,0.01834862385321101,0.009174311926605505,0.0,0.01834862385321101,0.009174311926605505,0.23853211009174313,0.0,0.009174311926605505,0.01834862385321101,0.11009174311926606
relief,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remorse,0.0,0.043478260869565216,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.782608695652174,0.021739130434782608,0.0
