,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,0.7678571428571429,0.011904761904761904,0.001984126984126984,0.007936507936507936,0.05357142857142857,0.011904761904761904,0.003968253968253968,0.003968253968253968,0.0,0.011904761904761904,0.00992063492063492,0.0,0.00992063492063492,0.003968253968253968,0.01984126984126984,0.0,0.015873015873015872,0.04563492063492063,0.0,0.005952380952380952,0.001984126984126984,0.0,0.0,0.0,0.0,0.011904761904761904
amusement,0.027777777777777776,0.876984126984127,0.011904761904761904,0.003968253968253968,0.011904761904761904,0.003968253968253968,0.015873015873015872,0.007936507936507936,0.003968253968253968,0.003968253968253968,0.007936507936507936,0.0,0.0,0.0,0.007936507936507936,0.0,0.003968253968253968,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.007936507936507936
anger,0.02030456852791878,0.0,0.6040609137055838,0.15736040609137056,0.02030456852791878,0.005076142131979695,0.015228426395939087,0.06091370558375635,0.005076142131979695,0.0,0.04568527918781726,0.0,0.0,0.005076142131979695,0.01015228426395939,0.0,0.0,0.02030456852791878,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.005076142131979695,0.02030456852791878
annoyance,0.017482517482517484,0.017482517482517484,0.13286713286713286,0.38461538461538464,0.06993006993006994,0.03496503496503497,0.017482517482517484,0.04195804195804196,0.006993006993006993,0.045454545454545456,0.11188811188811189,0.0034965034965034965,0.0,0.017482517482517484,0.006993006993006993,0.0,0.0034965034965034965,0.017482517482517484,0.0,0.013986013986013986,0.0,0.03146853146853147,0.0,0.0,0.006993006993006993,0.017482517482517484
approval,0.0880503144654088,0.006289308176100629,0.009433962264150943,0.02830188679245283,0.5817610062893082,0.05660377358490566,0.025157232704402517,0.015723270440251572,0.0031446540880503146,0.012578616352201259,0.0440251572327044,0.0,0.006289308176100629,0.006289308176100629,0.015723270440251572,0.0,0.018867924528301886,0.0220125786163522,0.0031446540880503146,0.025157232704402517,0.0,0.015723270440251572,0.0,0.0031446540880503146,0.006289308176100629,0.006289308176100629
caring,0.043859649122807015,0.0,0.02631578947368421,0.07894736842105263,0.09649122807017543,0.5087719298245614,0.008771929824561403,0.0,0.008771929824561403,0.0,0.02631578947368421,0.0,0.008771929824561403,0.0,0.02631578947368421,0.0,0.017543859649122806,0.03508771929824561,0.008771929824561403,0.06140350877192982,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.0
confusion,0.014388489208633094,0.007194244604316547,0.0,0.014388489208633094,0.04316546762589928,0.007194244604316547,0.48201438848920863,0.33093525179856115,0.007194244604316547,0.014388489208633094,0.03597122302158273,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.007194244604316547,0.0,0.0,0.0,0.02158273381294964
curiosity,0.02575107296137339,0.004291845493562232,0.012875536480686695,0.004291845493562232,0.02145922746781116,0.008583690987124463,0.07296137339055794,0.7682403433476395,0.0,0.0,0.004291845493562232,0.0,0.008583690987124463,0.008583690987124463,0.004291845493562232,0.0,0.004291845493562232,0.0,0.004291845493562232,0.012875536480686695,0.0,0.0,0.0,0.004291845493562232,0.012875536480686695,0.017167381974248927
desire,0.013513513513513514,0.0,0.04054054054054054,0.05405405405405406,0.12162162162162163,0.02702702702702703,0.0,0.02702702702702703,0.4189189189189189,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.013513513513513514,0.10810810810810811,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
disappointment,0.0,0.007874015748031496,0.031496062992125984,0.14960629921259844,0.047244094488188976,0.007874015748031496,0.047244094488188976,0.023622047244094488,0.015748031496062992,0.4015748031496063,0.08661417322834646,0.0,0.007874015748031496,0.007874015748031496,0.015748031496062992,0.0,0.0,0.023622047244094488,0.0,0.023622047244094488,0.0,0.031496062992125984,0.0,0.007874015748031496,0.047244094488188976,0.015748031496062992
