,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,0.686046511627907,0.023255813953488372,0.0,0.0069767441860465115,0.046511627906976744,0.01627906976744186,0.002325581395348837,0.0069767441860465115,0.0,0.0069767441860465115,0.0069767441860465115,0.0,0.02558139534883721,0.0069767441860465115,0.06279069767441861,0.0,0.023255813953488372,0.06511627906976744,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.009302325581395349
amusement,0.023809523809523808,0.9206349206349206,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.007936507936507936,0.003968253968253968,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.003968253968253968,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0
anger,0.02030456852791878,0.02030456852791878,0.5126903553299492,0.18781725888324874,0.04568527918781726,0.01015228426395939,0.030456852791878174,0.02030456852791878,0.0,0.005076142131979695,0.07614213197969544,0.0,0.0,0.0,0.015228426395939087,0.005076142131979695,0.0,0.02030456852791878,0.0,0.0,0.0,0.005076142131979695,0.0,0.005076142131979695,0.005076142131979695,0.015228426395939087
annoyance,0.02097902097902098,0.027972027972027972,0.10139860139860139,0.3706293706293706,0.09090909090909091,0.027972027972027972,0.027972027972027972,0.027972027972027972,0.0034965034965034965,0.017482517482517484,0.16783216783216784,0.0034965034965034965,0.0,0.02097902097902098,0.006993006993006993,0.0034965034965034965,0.0034965034965034965,0.017482517482517484,0.0,0.0,0.0,0.03496503496503497,0.0,0.0034965034965034965,0.013986013986013986,0.006993006993006993
approval,0.08490566037735849,0.009433962264150943,0.012578616352201259,0.012578616352201259,0.610062893081761,0.04716981132075472,0.006289308176100629,0.009433962264150943,0.0031446540880503146,0.0031446540880503146,0.05660377358490566,0.0,0.012578616352201259,0.0031446540880503146,0.009433962264150943,0.0031446540880503146,0.015723270440251572,0.03773584905660377,0.006289308176100629,0.012578616352201259,0.0,0.0220125786163522,0.0,0.006289308176100629,0.006289308176100629,0.009433962264150943
caring,0.05263157894736842,0.008771929824561403,0.02631578947368421,0.06140350877192982,0.09649122807017543,0.49122807017543857,0.008771929824561403,0.0,0.008771929824561403,0.0,0.05263157894736842,0.0,0.008771929824561403,0.008771929824561403,0.02631578947368421,0.0,0.02631578947368421,0.043859649122807015,0.0,0.043859649122807015,0.0,0.017543859649122806,0.0,0.008771929824561403,0.008771929824561403,0.0
confusion,0.02158273381294964,0.007194244604316547,0.0,0.02158273381294964,0.05755395683453238,0.014388489208633094,0.5251798561151079,0.23741007194244604,0.0,0.0,0.04316546762589928,0.0,0.0,0.0,0.014388489208633094,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.02158273381294964,0.0,0.007194244604316547,0.0,0.02158273381294964
curiosity,0.012875536480686695,0.004291845493562232,0.004291845493562232,0.008583690987124463,0.02575107296137339,0.004291845493562232,0.18454935622317598,0.5793991416309013,0.004291845493562232,0.0,0.0,0.004291845493562232,0.017167381974248927,0.008583690987124463,0.008583690987124463,0.004291845493562232,0.008583690987124463,0.02145922746781116,0.004291845493562232,0.017167381974248927,0.0,0.004291845493562232,0.0,0.008583690987124463,0.008583690987124463,0.055793991416309016
desire,0.04054054054054054,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.0945945945945946,0.04054054054054054,0.013513513513513514,0.013513513513513514,0.5,0.02702702702702703,0.013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.0,0.04054054054054054,0.04054054054054054,0.0,0.06756756756756757,0.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0
disappointment,0.05511811023622047,0.007874015748031496,0.023622047244094488,0.1732283464566929,0.07086614173228346,0.023622047244094488,0.031496062992125984,0.015748031496062992,0.007874015748031496,0.25196850393700787,0.13385826771653545,0.0,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.0,0.0,0.007874015748031496,0.0,0.007874015748031496,0.0,0.07086614173228346,0.0,0.007874015748031496,0.06299212598425197,0.0
disapproval,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.08181818181818182,0.08636363636363636,0.0,0.04090909090909091,0.00909090909090909,0.0,0.022727272727272728,0.5681818181818182,0.0,0.004545454545454545,0.013636363636363636,0.004545454545454545,0.0,0.0,0.00909090909090909,0.0,0.004545454545454545,0.0,0.03636363636363636,0.0,0.013636363636363636,0.00909090909090909,0.013636363636363636
embarrassment,0.0,0.06451612903225806,0.0,0.22580645161290322,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.45161290322580644,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.03225806451612903
excitement,0.09523809523809523,0.0,0.0,0.011904761904761904,0.09523809523809523,0.011904761904761904,0.0,0.07142857142857142,0.011904761904761904,0.0,0.0,0.0,0.4166666666666667,0.011904761904761904,0.05952380952380952,0.0,0.10714285714285714,0.0,0.0,0.023809523809523808,0.0,0.011904761904761904,0.0,0.0,0.0,0.07142857142857142
fear,0.0,0.0,0.02666666666666667,0.05333333333333334,0.0,0.02666666666666667,0.0,0.0,0.0,0.02666666666666667,0.04,0.0,0.013333333333333334,0.7733333333333333,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0
gratitude,0.03819444444444445,0.010416666666666666,0.003472222222222222,0.0,0.013888888888888888,0.010416666666666666,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,0.017361111111111112,0.0,0.8784722222222222,0.0,0.024305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grief,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,0.16379310344827586,0.0603448275862069,0.0,0.0,0.04310344827586207,0.05172413793103448,0.017241379310344827,0.0,0.008620689655172414,0.0,0.008620689655172414,0.0,0.034482758620689655,0.008620689655172414,0.0,0.0,0.5172413793103449,0.07758620689655173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414
love,0.041176470588235294,0.01764705882352941,0.029411764705882353,0.0058823529411764705,0.023529411764705882,0.0,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.011764705882352941,0.8411764705882353,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
nervousness,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0
optimism,0.041666666666666664,0.016666666666666666,0.0,0.0,0.15,0.18333333333333332,0.008333333333333333,0.0,0.025,0.008333333333333333,0.016666666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.016666666666666666,0.0,0.4,0.0,0.008333333333333333,0.0,0.025,0.0,0.016666666666666666
pride,0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
realization,0.027522935779816515,0.045871559633027525,0.009174311926605505,0.08256880733944955,0.22935779816513763,0.027522935779816515,0.01834862385321101,0.01834862385321101,0.009174311926605505,0.01834862385321101,0.08256880733944955,0.009174311926605505,0.009174311926605505,0.0,0.0,0.0,0.01834862385321101,0.009174311926605505,0.0,0.0,0.0,0.30275229357798167,0.0,0.009174311926605505,0.009174311926605505,0.06422018348623854
relief,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
remorse,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.043478260869565216,0.0,0.782608695652174,0.043478260869565216,0.0
sadness,0.06481481481481481,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.046296296296296294,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.05555555555555555,0.046296296296296294,0.0,0.0,0.009259259259259259,0.0,0.037037037037037035,0.0,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.0,0.09259259259259259,0.46296296296296297,0.037037037037037035
surprise,0.06315789473684211,0.0,0.031578947368421054,0.09473684210526316,0.021052631578947368,0.0,0.031578947368421054,0.042105263157894736,0.0,0.021052631578947368,0.042105263157894736,0.0,0.031578947368421054,0.010526315789473684,0.0,0.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.09473684210526316,0.0,0.0,0.010526315789473684,0.4842105263157895
