,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,0.7465116279069768,0.009302325581395349,0.002325581395348837,0.009302325581395349,0.04883720930232558,0.011627906976744186,0.002325581395348837,0.011627906976744186,0.002325581395348837,0.0069767441860465115,0.013953488372093023,0.0,0.01627906976744186,0.004651162790697674,0.03255813953488372,0.0,0.020930232558139535,0.053488372093023255,0.0,0.0069767441860465115,0.0,0.0,0.0,0.0,0.0,0.0
amusement,0.023809523809523808,0.9126984126984127,0.007936507936507936,0.007936507936507936,0.011904761904761904,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936
anger,0.005076142131979695,0.005076142131979695,0.583756345177665,0.20304568527918782,0.02030456852791878,0.015228426395939087,0.005076142131979695,0.030456852791878174,0.0,0.01015228426395939,0.04568527918781726,0.005076142131979695,0.005076142131979695,0.0,0.015228426395939087,0.0,0.0,0.01015228426395939,0.0,0.0,0.0,0.01015228426395939,0.0,0.0,0.01015228426395939,0.02030456852791878
annoyance,0.017482517482517484,0.017482517482517484,0.17482517482517482,0.34265734265734266,0.06993006993006994,0.017482517482517484,0.006993006993006993,0.06293706293706294,0.006993006993006993,0.04895104895104895,0.12937062937062938,0.0034965034965034965,0.0034965034965034965,0.017482517482517484,0.006993006993006993,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.027972027972027972,0.0,0.0034965034965034965,0.013986013986013986,0.013986013986013986
approval,0.09119496855345911,0.012578616352201259,0.006289308176100629,0.031446540880503145,0.5377358490566038,0.05345911949685535,0.018867924528301886,0.018867924528301886,0.006289308176100629,0.009433962264150943,0.050314465408805034,0.0,0.0220125786163522,0.0031446540880503146,0.012578616352201259,0.0,0.0220125786163522,0.025157232704402517,0.0,0.02830188679245283,0.0,0.0220125786163522,0.0,0.006289308176100629,0.009433962264150943,0.012578616352201259
caring,0.03508771929824561,0.0,0.02631578947368421,0.017543859649122806,0.14912280701754385,0.543859649122807,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.0,0.017543859649122806,0.043859649122807015,0.0,0.05263157894736842,0.0,0.0,0.0,0.008771929824561403,0.017543859649122806,0.0
confusion,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.02158273381294964,0.04316546762589928,0.007194244604316547,0.43884892086330934,0.31654676258992803,0.007194244604316547,0.007194244604316547,0.06474820143884892,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.007194244604316547,0.007194244604316547,0.02158273381294964
curiosity,0.02575107296137339,0.004291845493562232,0.008583690987124463,0.017167381974248927,0.012875536480686695,0.017167381974248927,0.07296137339055794,0.7253218884120172,0.0,0.0,0.0,0.004291845493562232,0.012875536480686695,0.008583690987124463,0.004291845493562232,0.0,0.004291845493562232,0.012875536480686695,0.004291845493562232,0.017167381974248927,0.0,0.0,0.0,0.004291845493562232,0.008583690987124463,0.034334763948497854
desire,0.0,0.0,0.04054054054054054,0.02702702702702703,0.06756756756756757,0.05405405405405406,0.013513513513513514,0.04054054054054054,0.5135135135135135,0.04054054054054054,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.04054054054054054,0.0,0.06756756756756757,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.0
disappointment,0.031496062992125984,0.007874015748031496,0.031496062992125984,0.1732283464566929,0.023622047244094488,0.015748031496062992,0.023622047244094488,0.031496062992125984,0.007874015748031496,0.33858267716535434,0.09448818897637795,0.0,0.007874015748031496,0.023622047244094488,0.015748031496062992,0.0,0.0,0.015748031496062992,0.0,0.015748031496062992,0.0,0.047244094488188976,0.0,0.007874015748031496,0.08661417322834646,0.0
disapproval,0.022727272727272728,0.031818181818181815,0.03636363636363636,0.07727272727272727,0.04090909090909091,0.01818181818181818,0.022727272727272728,0.013636363636363636,0.0,0.04090909090909091,0.6090909090909091,0.0,0.0,0.00909090909090909,0.004545454545454545,0.0,0.0,0.01818181818181818,0.0,0.00909090909090909,0.0,0.013636363636363636,0.0,0.013636363636363636,0.004545454545454545,0.013636363636363636
embarrassment,0.0,0.0,0.0,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.45161290322580644,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0967741935483871
excitement,0.14285714285714285,0.0,0.0,0.011904761904761904,0.05952380952380952,0.011904761904761904,0.0,0.05952380952380952,0.03571428571428571,0.0,0.0,0.0,0.44047619047619047,0.011904761904761904,0.05952380952380952,0.0,0.08333333333333333,0.0,0.0,0.023809523809523808,0.0,0.011904761904761904,0.0,0.0,0.0,0.047619047619047616
fear,0.02666666666666667,0.0,0.013333333333333334,0.02666666666666667,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.02666666666666667,0.013333333333333334,0.0,0.0,0.7733333333333333,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.0
gratitude,0.06597222222222222,0.006944444444444444,0.003472222222222222,0.0,0.003472222222222222,0.010416666666666666,0.0,0.003472222222222222,0.0,0.0,0.003472222222222222,0.0,0.013888888888888888,0.0,0.8541666666666666,0.0,0.024305555555555556,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
