,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,300,9,1,3,29,6,1,2,0,2,1,0,11,2,19,0,13,26,0,2,0,0,0,0,0,3
amusement,7,220,2,1,3,1,3,1,2,1,1,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1
anger,0,2,104,40,8,2,2,10,2,0,15,0,0,1,3,0,0,3,0,0,0,0,0,1,1,3
annoyance,7,6,27,109,31,9,6,13,3,3,50,1,1,5,2,0,0,3,0,1,0,2,0,1,3,3
approval,22,4,4,10,201,16,2,7,1,2,12,0,4,2,2,0,6,8,0,5,0,6,0,2,0,2
caring,5,0,2,5,14,61,1,0,0,0,5,0,0,0,3,0,4,5,1,4,0,1,0,1,2,0
confusion,2,2,0,3,9,1,73,40,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2
curiosity,7,1,3,2,5,1,27,155,0,0,0,0,5,1,2,0,1,3,2,4,0,0,0,0,2,12
desire,1,0,2,3,7,1,0,1,37,1,2,0,1,0,0,0,2,5,0,10,0,0,0,0,1,0
disappointment,6,2,3,26,11,2,7,2,4,24,13,0,1,2,2,0,1,2,0,2,0,5,0,2,10,0
disapproval,7,7,4,13,20,2,12,3,0,3,125,2,1,3,1,0,0,4,0,2,0,2,0,3,1,5
embarrassment,0,1,1,6,1,0,1,0,0,0,2,13,0,0,0,0,0,0,0,0,0,2,0,2,0,2
excitement,9,0,0,1,7,1,0,5,1,0,0,0,37,0,4,0,13,0,0,1,0,1,0,0,0,4
fear,0,1,1,2,0,4,0,0,0,0,3,0,0,61,0,0,0,0,1,0,0,1,0,0,0,1
gratitude,14,2,0,0,6,3,0,0,0,0,1,0,1,0,250,0,9,0,0,2,0,0,0,0,0,0
grief,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
joy,13,9,0,0,7,5,2,1,1,1,0,0,0,1,0,0,67,8,0,0,0,0,0,0,0,1
love,7,2,4,1,6,0,1,1,2,1,1,0,1,0,0,0,4,139,0,0,0,0,0,0,0,0
nervousness,0,0,0,1,0,2,1,1,0,1,0,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0
optimism,7,2,0,0,16,21,0,0,4,0,1,0,5,0,1,0,3,1,0,56,0,0,0,2,0,1
pride,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
realization,3,7,1,7,24,2,4,2,0,1,9,1,1,0,0,0,2,1,0,2,1,26,0,1,2,12
relief,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
remorse,0,2,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,36,1,0
sadness,5,1,2,3,3,8,3,7,2,3,2,0,0,1,0,0,0,2,0,0,0,1,0,10,51,4
surprise,6,0,3,7,5,0,4,5,0,1,2,0,5,2,0,0,0,1,0,1,0,5,0,0,1,47
