,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,387,6,1,4,27,6,2,2,0,6,5,0,5,2,10,0,8,23,0,3,1,0,0,0,0,6
amusement,7,221,3,1,3,1,4,2,1,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2
anger,4,0,119,31,4,1,3,12,1,0,9,0,0,1,2,0,0,4,0,0,0,1,0,0,1,4
annoyance,5,5,38,110,20,10,5,12,2,13,32,1,0,5,2,0,1,5,0,4,0,9,0,0,2,5
approval,28,2,3,9,185,18,8,5,1,4,14,0,2,2,5,0,6,7,1,8,0,5,0,1,2,2
caring,5,0,3,9,11,58,1,0,1,0,3,0,1,0,3,0,2,4,1,7,0,1,1,1,2,0
confusion,2,1,0,2,6,1,67,46,1,2,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3
curiosity,6,1,3,1,5,2,17,179,0,0,1,0,2,2,1,0,1,0,1,3,0,0,0,1,3,4
desire,1,0,3,4,9,2,0,2,31,4,0,0,2,0,0,0,2,4,1,8,0,0,0,0,1,0
disappointment,0,1,4,19,6,1,6,3,2,51,11,0,1,1,2,0,0,3,0,3,0,4,0,1,6,2
disapproval,5,6,5,18,14,3,11,5,1,13,118,2,1,3,1,0,0,5,0,2,0,2,0,2,1,2
embarrassment,0,1,0,4,2,0,0,1,0,1,2,14,1,1,0,0,0,0,0,0,0,1,0,1,1,1
excitement,8,0,1,2,7,0,0,5,2,0,0,0,39,0,4,0,8,0,0,2,0,2,0,0,0,4
fear,0,0,1,2,0,1,0,0,0,1,1,0,1,64,0,0,0,0,2,1,0,0,0,0,1,0
gratitude,24,2,1,2,1,4,1,2,0,1,0,0,8,0,236,0,3,0,0,2,0,0,1,0,0,0
grief,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
joy,14,8,0,0,6,6,3,1,0,1,0,0,4,1,2,0,54,9,0,1,0,2,2,0,1,1
love,7,1,0,0,6,1,1,0,1,1,2,0,1,0,0,0,2,144,1,1,0,0,0,0,1,0
nervousness,0,0,1,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1,0
optimism,7,2,0,1,14,17,3,1,5,2,0,0,4,1,0,0,2,1,1,54,0,2,0,2,0,1
pride,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
realization,6,7,2,4,24,1,3,4,0,3,8,1,3,1,1,0,0,2,0,3,0,28,0,1,0,7
relief,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
remorse,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,34,3,0
sadness,3,1,2,3,2,7,3,3,0,12,3,0,0,2,0,0,0,1,1,0,0,0,0,9,52,4
surprise,8,0,3,5,1,0,4,9,0,4,6,0,1,1,0,0,0,1,0,2,0,6,0,0,1,43
