,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
admiration,321,4,1,4,21,5,1,5,1,3,6,0,7,2,14,0,9,23,0,3,0,0,0,0,0,0
amusement,6,230,2,2,3,0,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
anger,1,1,115,40,4,3,1,6,0,2,9,1,1,0,3,0,0,2,0,0,0,2,0,0,2,4
annoyance,5,5,50,98,20,5,2,18,2,14,37,1,1,5,2,0,0,4,0,0,0,8,0,1,4,4
approval,29,4,2,10,171,17,6,6,2,3,16,0,7,1,4,0,7,8,0,9,0,7,0,2,3,4
caring,4,0,3,2,17,62,0,0,0,0,2,0,2,2,4,0,2,5,0,6,0,0,0,1,2,0
confusion,1,2,2,3,6,1,61,44,1,1,9,0,0,0,1,0,0,0,0,0,0,2,0,1,1,3
curiosity,6,1,2,4,3,4,17,169,0,0,0,1,3,2,1,0,1,3,1,4,0,0,0,1,2,8
desire,0,0,3,2,5,4,1,3,38,3,1,0,2,0,0,0,2,3,0,5,0,0,0,1,1,0
disappointment,4,1,4,22,3,2,3,4,1,43,12,0,1,3,2,0,0,2,0,2,0,6,0,1,11,0
disapproval,5,7,8,17,9,4,5,3,0,9,134,0,0,2,1,0,0,4,0,2,0,3,0,3,1,3
embarrassment,0,0,0,5,1,1,0,1,0,0,2,14,1,0,0,0,0,0,0,0,0,2,0,1,0,3
excitement,12,0,0,1,5,1,0,5,3,0,0,0,37,1,5,0,7,0,0,2,0,1,0,0,0,4
fear,2,0,1,2,0,2,0,1,0,2,1,0,0,58,0,0,0,0,2,0,0,0,0,0,4,0
gratitude,19,2,1,0,1,3,0,1,0,0,1,0,4,0,246,0,7,0,0,3,0,0,0,0,0,0
grief,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
joy,17,9,0,0,3,6,2,0,0,1,0,0,4,1,1,0,61,6,0,1,0,3,0,0,0,1
love,16,2,5,0,8,0,0,2,1,0,3,0,1,0,1,0,1,128,1,1,0,0,0,0,0,0
nervousness,0,0,0,1,0,1,1,0,0,2,0,0,0,8,0,0,0,0,3,0,0,0,0,1,0,0
optimism,4,1,0,0,12,17,1,0,6,2,4,0,5,0,4,0,1,0,0,59,0,2,0,0,0,2
pride,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
realization,6,5,1,7,21,3,2,4,0,3,9,1,3,0,0,0,1,2,0,3,0,28,0,2,1,7
relief,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
remorse,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,33,3,0
sadness,2,1,4,1,2,6,1,5,0,7,3,0,0,3,1,0,0,0,0,0,0,1,0,9,60,2
surprise,8,0,1,6,1,0,3,8,0,2,4,0,4,2,0,0,1,1,0,0,0,4,0,0,1,49
