,precision,recall,f1-score,support
admiration,0.7,0.7,0.7,430.0
amusement,0.79,0.87,0.83,252.0
anger,0.63,0.53,0.57,197.0
annoyance,0.45,0.38,0.41,286.0
approval,0.48,0.63,0.54,318.0
caring,0.41,0.54,0.46,114.0
confusion,0.48,0.53,0.5,139.0
curiosity,0.6,0.67,0.63,233.0
desire,0.62,0.5,0.55,74.0
disappointment,0.55,0.19,0.28,127.0
disapproval,0.5,0.57,0.53,220.0
embarrassment,0.76,0.42,0.54,31.0
excitement,0.5,0.44,0.47,84.0
fear,0.71,0.81,0.76,75.0
gratitude,0.83,0.87,0.85,288.0
grief,0.0,0.0,0.0,6.0
joy,0.53,0.58,0.55,116.0
love,0.66,0.82,0.73,170.0
nervousness,0.64,0.41,0.5,17.0
optimism,0.6,0.47,0.53,120.0
pride,0.5,0.12,0.2,8.0
realization,0.47,0.24,0.32,109.0
relief,0.0,0.0,0.0,7.0
remorse,0.57,0.78,0.66,46.0
sadness,0.66,0.47,0.55,108.0
surprise,0.45,0.49,0.47,95.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.54,0.5,0.51,3670.0
weighted avg,0.6,0.6,0.59,3670.0
