,precision,recall,f1-score,support
admiration,0.73,0.77,0.75,504.0
amusement,0.83,0.88,0.85,252.0
anger,0.61,0.6,0.61,197.0
annoyance,0.47,0.38,0.42,286.0
approval,0.52,0.58,0.55,318.0
caring,0.41,0.51,0.45,114.0
confusion,0.47,0.48,0.48,139.0
curiosity,0.6,0.77,0.68,233.0
desire,0.63,0.42,0.5,74.0
disappointment,0.42,0.4,0.41,127.0
disapproval,0.53,0.54,0.53,220.0
embarrassment,0.78,0.45,0.57,31.0
excitement,0.51,0.46,0.49,84.0
fear,0.7,0.85,0.77,75.0
gratitude,0.86,0.82,0.84,288.0
grief,1.0,0.5,0.67,6.0
joy,0.6,0.47,0.52,116.0
love,0.68,0.85,0.75,170.0
nervousness,0.47,0.47,0.47,17.0
optimism,0.5,0.45,0.48,120.0
pride,0.5,0.12,0.2,8.0
realization,0.43,0.26,0.32,109.0
relief,0.56,0.71,0.62,7.0
remorse,0.64,0.74,0.69,46.0
sadness,0.65,0.48,0.55,108.0
surprise,0.47,0.45,0.46,95.0
accuracy,0.62,0.62,0.62,0.62
macro avg,0.6,0.55,0.56,3744.0
weighted avg,0.61,0.62,0.61,3744.0
