,precision,recall,f1-score,support
admiration,0.68,0.75,0.71,430.0
amusement,0.83,0.91,0.87,252.0
anger,0.56,0.58,0.57,197.0
annoyance,0.43,0.34,0.38,286.0
approval,0.53,0.54,0.54,318.0
caring,0.42,0.54,0.47,114.0
confusion,0.55,0.44,0.49,139.0
curiosity,0.59,0.73,0.65,233.0
desire,0.69,0.51,0.59,74.0
disappointment,0.44,0.34,0.38,127.0
disapproval,0.53,0.61,0.56,220.0
embarrassment,0.78,0.45,0.57,31.0
excitement,0.44,0.44,0.44,84.0
fear,0.64,0.77,0.7,75.0
gratitude,0.84,0.85,0.85,288.0
grief,1.0,0.17,0.29,6.0
joy,0.59,0.53,0.56,116.0
love,0.67,0.75,0.71,170.0
nervousness,0.43,0.18,0.25,17.0
optimism,0.58,0.49,0.53,120.0
pride,1.0,0.12,0.22,8.0
realization,0.39,0.26,0.31,109.0
relief,1.0,0.29,0.44,7.0
remorse,0.58,0.72,0.64,46.0
sadness,0.61,0.56,0.58,108.0
surprise,0.51,0.52,0.51,95.0
accuracy,0.61,0.61,0.61,0.61
macro avg,0.63,0.51,0.53,3670.0
weighted avg,0.6,0.61,0.6,3670.0
