,precision,recall,f1-score,support
admiration,0.54,0.73,0.62,925.0
amusement,0.36,0.41,0.39,802.0
anger,0.27,0.15,0.2,1208.0
annoyance,0.36,0.23,0.28,1687.0
approval,0.4,0.19,0.26,537.0
caring,0.45,0.21,0.29,675.0
confusion,0.36,0.42,0.39,798.0
curiosity,0.37,0.36,0.37,318.0
desire,0.38,0.11,0.17,691.0
disappointment,0.35,0.21,0.26,905.0
disapproval,0.27,0.32,0.29,349.0
disgust,0.35,0.16,0.21,174.0
embarrassment,0.34,0.23,0.27,477.0
excitement,0.38,0.55,0.45,256.0
fear,0.76,0.74,0.75,943.0
gratitude,0.67,0.12,0.2,50.0
grief,0.35,0.32,0.33,559.0
joy,0.49,0.78,0.6,586.0
love,0.42,0.17,0.24,96.0
nervousness,0.41,0.32,0.36,538.0
neutral,0.48,0.13,0.21,83.0
optimism,0.24,0.08,0.12,534.0
pride,0.2,0.04,0.06,84.0
realization,0.33,0.63,0.44,167.0
relief,0.39,0.3,0.34,394.0
remorse,0.36,0.35,0.35,363.0
sadness,0.46,0.67,0.54,5530.0
accuracy,0.43,0.43,0.43,0.43
macro avg,0.4,0.33,0.33,19729.0
weighted avg,0.42,0.43,0.41,19729.0
